source,source_short,native_variable,factor,physical_meaning,native_unit,output_name,output_unit,spatial_support,spatial_resolution,spatial_type,temporal_support,temporal_resolution,transformation,within_source_aggregation,harmonisation_rule,source_weight,dispatch_status,provider,dataset,reference,notes
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,ocd,soil,Organic carbon density,,Organic carbon density [kg/m3],kg/m3,,,grid,,none,native integer / 10; layer ocd_0-5cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,ocs,soil,Soil organic carbon stock,,Soil organic carbon stock [kg/m2],kg/m2,,,grid,,none,native integer / 10; layer ocs_0-30cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,phh2o,soil,Soil pH in H2O,,Soil pH in H2O [pH],pH,,,grid,,none,native integer / 10; layer phh2o_0-5cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,sand,soil,Sand content,,Sand content [%],%,,,grid,,none,native integer / 10; layer sand_0-5cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,silt,soil,Silt content,,Silt content [%],%,,,grid,,none,native integer / 10; layer silt_0-5cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,soc,soil,Soil organic carbon,,Soil organic carbon [g/kg],g/kg,,,grid,,none,native integer / 10; layer soc_0-5cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
farmwise_api.adapters.API_readers.cds.cds_single_levels,cds.cds_single_levels,volumetric_soil_water_layer_1,soil humidity,,,,,,,grid,,daily,,mean,weighted_mean,1.0,public,"Copernicus Climate Change Service (C3S), implemented by ECMWF",reanalysis-era5-single-levels,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels,
farmwise_api.adapters.API_readers.IFSGRID.IFSGRID_read,IFSGRID.IFSGRID_read,IrrShare,surface water quality,The share of irrigated land in the total area of agricultural land,,The share of irrigated land in the total area of agricultural land,,,,point,,none,,mean,weighted_mean,1.0,disabled,Eurostat and contributing national statistical authorities,,https://doi.org/10.5281/zenodo.14852709,
farmwise_api.adapters.API_readers.IFSGRID.IFSGRID_read,IFSGRID.IFSGRID_read,UAA_IB,surface water quality,Area of irrigable farmland,,Area of irrigable farmland,,,,point,,none,,mean,weighted_mean,1.0,disabled,Eurostat and contributing national statistical authorities,,https://doi.org/10.5281/zenodo.14852709,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,BOD5,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,COD,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,SPAR,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,altrazine,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,ammonium,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,chloride,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,nitrate,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,nitrite,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,nitrogen,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,oxygen,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,permanganate,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,phosphate,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,phytoplankton,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,simazine,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,sulfate,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.UA_sw_quality.ukrainian_surface_water,UA_sw_quality.ukrainian_surface_water,suspended_solids,surface water quality,,,,,,,point,,monthly,,mean,weighted_mean,1.0,public,State Agency of Water Resources of Ukraine,state monitoring observations for Ukrainian surface waters,https://data.gov.ua/dataset/surface-water-monitoring,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide pentacosafluorotridecanoique,surface water quality,SW Pentacosafluorotridecanoic acid,,SW Pentacosafluorotridecanoic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluoro-dodecanoïque,surface water quality,SW Perfluorododecanoic acid,,SW Perfluorododecanoic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluoro-n-butanoïque,surface water quality,SW Perfluorobutanoic acid,,SW Perfluorobutanoic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluoro-n-heptanoïque,surface water quality,SW Perfluoroheptanoic acid,,SW Perfluoroheptanoic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluoro-n-nonanoïque,surface water quality,SW Perfluorononanoic acid,,SW Perfluorononanoic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluoro-n-pentanoïque,surface water quality,SW Perfluoropentanoic acid,,SW Perfluoropentanoic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluoro-n-undecanoïque,surface water quality,SW Perfluoroundecanoic acid,,SW Perfluoroundecanoic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluoro-octanoïque,surface water quality,SW Perfluorooctanoic acid,,SW Perfluorooctanoic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluorodecane sulfonique,surface water quality,SW Perfluorodecane sulfonic acid,,SW Perfluorodecane sulfonic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluorododecane sulfonique,surface water quality,SW Perfluorododecane sulfonic acid,,SW Perfluorododecane sulfonic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluoroheptane sulfonique,surface water quality,SW Perfluoroheptane sulfonic acid,,SW Perfluoroheptane sulfonic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluorononane sulfonique,surface water quality,SW Perfluorononane sulfonic acid,,SW Perfluorononane sulfonic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluoropentane sulfonique,surface water quality,SW Perfluoropentane sulfonic acid,,SW Perfluoropentane sulfonic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluorotridecane sulfonique,surface water quality,SW Perfluorotridecane sulfonic acid,,SW Perfluorotridecane sulfonic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide perfluoroundecane sulfonique,surface water quality,SW Perfluoroundecane sulfonic acid,,SW Perfluoroundecane sulfonic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide sulfonique de perfluorobutane,surface water quality,SW Perfluorobutane sulfonic acid,,SW Perfluorobutane sulfonic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Acide sulfonique de perfluorooctane,surface water quality,SW Perfluorooctane sulfonic acid,,SW Perfluorooctane sulfonic acid (mµg/L),mµg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Arsenic,surface water quality,SW Arsenic,,SW Arsenic (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Cadmium,surface water quality,SW Cadmium,,SW Cadmium (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Calcium,surface water quality,SW Calcium,,SW Calcium (mg/L),mg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Chlorures,surface water quality,SW Chlorides,,SW Chlorides (mg/L),mg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Conductivité à 25°C,surface water quality,SW Conductivity at 25°C,,SW Conductivity at 25°C (µS/cm),µS/cm,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Magnésium,surface water quality,SW Magnesium,,SW Magnesium (mg/L),mg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Nitrates,surface water quality,SW Nitrates,,SW Nitrates (mg/L),mg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Perfluorohexanesulfonic acid,surface water quality,SW Perfluorohexanesulfonic acid,,SW Perfluorohexanesulfonic acid (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Phosphore total,surface water quality,SW Total Phosphorus,,SW Total Phosphorus (mg/L),mg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Plomb,surface water quality,SW Lead,,SW Lead (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Potassium,surface water quality,SW Potassium,,SW Potassium (mg/L),mg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Potentiel en Hydrogène (pH),surface water quality,SW Hydrogen Potential,,SW Hydrogen Potential (pH),pH,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Sodium,surface water quality,SW Sodium,,SW Sodium (mg/L),mg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Somme des pesticides totaux,surface water quality,SW Total Pesticides,,SW Total Pesticides (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Sulfonate de perfluorooctane,surface water quality,SW Perfluorooctane sulfonate,,SW Perfluorooctane sulfonate (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.hubeau.hubeau_sw_quality_read,hubeau.hubeau_sw_quality_read,Zinc,surface water quality,SW Zinc,,SW Zinc (µg/L),µg/L,,,point,,none,,mean,weighted_mean,1.0,public,"Office français de la biodiversité (OFB), BRGM, Service Central Vigicrues, and the producers identified by individual records",,https://hubeau.eaufrance.fr/,
farmwise_api.adapters.API_readers.imgw_hydro.imgw_api_hydro_daily,imgw_hydro.imgw_api_hydro_daily,Flow [m³/s],surface water quantity,Flow,,Flow [m³/s],m³/s,,,point,,daily,,mean,weighted_mean,1.0,local-only,Instytut Meteorologii i Gospodarki Wodnej — Państwowy Instytut Badawczy (IMGW-PIB),,https://danepubliczne.imgw.pl/datastore,
farmwise_api.adapters.API_readers.imgw_hydro.imgw_api_hydro_daily,imgw_hydro.imgw_api_hydro_daily,Water level [cm],surface water quantity,Water level,,Water level [cm],cm,,,point,,daily,,mean,weighted_mean,1.0,local-only,Instytut Meteorologii i Gospodarki Wodnej — Państwowy Instytut Badawczy (IMGW-PIB),,https://danepubliczne.imgw.pl/datastore,
farmwise_api.adapters.API_readers.cds.cds_single_levels,cds.cds_single_levels,2m_temperature,temperature,,,,,,,grid,,daily,,mean,weighted_mean,1.0,public,"Copernicus Climate Change Service (C3S), implemented by ECMWF",reanalysis-era5-single-levels,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels,
farmwise_api.adapters.API_readers.geosphere.geosphere,geosphere.geosphere,tl_mittel,temperature,Temperature,,Temperature [°C],°C,,,point,,none,,mean,weighted_mean,1.0,public,GeoSphere Austria,"Station Data-v2 (1 d), resource klima-v2-1d",https://dataset.api.hub.geosphere.at/app/frontend/station/historical/klima-v2-1d,
farmwise_api.adapters.API_readers.imgw.imgw_api_synop_daily,imgw.imgw_api_synop_daily,Average daily temperature [°C],temperature,Temperature,,Temperature [°C],°C,,,point,,daily,,mean,weighted_mean,1.0,local-only,Instytut Meteorologii i Gospodarki Wodnej — Państwowy Instytut Badawczy (IMGW-PIB),,https://danepubliczne.imgw.pl/datastore,
farmwise_api.adapters.API_readers.wetterdienst.wetterdienst_dwd,wetterdienst.wetterdienst_dwd,temperature_air_mean_2m,temperature,Temperature,,Temperature [°C],°C,,,point,,none,,mean,weighted_mean,1.0,public,Deutscher Wetterdienst (DWD),DWD Climate Data Center/Open Data observations accessed through Wetterdienst,https://opendata.dwd.de/climate_environment/CDC/,
farmwise_api.adapters.API_readers.egdi.egdi_read_d10,egdi.egdi_read_d10,(unspecified),unspecified,,,,,,,-,,-,,mean,weighted_mean,,disabled,"Federal Institute for Geosciences and Natural Resources (BGR), distributed through EGDI",,,
farmwise_api.adapters.API_readers.egdi.egdi_read_hc,egdi.egdi_read_hc,(unspecified),unspecified,,,,,,,-,,-,,mean,weighted_mean,,disabled,"Federal Institute for Geosciences and Natural Resources (BGR), distributed through EGDI",,,
