id,station_name,lat,lon,station_link,download_link,measuring_point_height
IE_SE_G_0064_3300_0011,SAN ANTONE HOUSE (B&B),52.26070901040732,-6.458944587886305,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0064_3300_0011,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0064_3300_0011/GWL/complete_daymean.zip,4.77
IE_SE_G_0083_1500_0013,OLDTOWN,52.64235401824209,-7.426963598985074,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0083_1500_0013,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0083_1500_0013/GWL/complete_daymean.zip,115.996
IE_SE_G_0106_1400_0012,MB 30,53.16433820500941,-6.878944371472822,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0106_1400_0012,https://epawebapp.epa.ie/Hydronet/output/internet/stations/DUB/IE_SE_G_0106_1400_0012/GWL/complete_daymean.zip,97.609
IE_SE_G_0133_1400_0002,BALLYSAX,53.14223821591584,-6.801077222816378,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0133_1400_0002,https://epawebapp.epa.ie/Hydronet/output/internet/stations/DUB/IE_SE_G_0133_1400_0002/GWL/complete_daymean.zip,110.07
IE_SE_G_0133_1400_0004,BROWNSTOWN,53.13583460159088,-6.825745796870971,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0133_1400_0004,https://epawebapp.epa.ie/Hydronet/output/internet/stations/DUB/IE_SE_G_0133_1400_0004/GWL/complete_daymean.zip,103.98
IE_SE_G_0133_1400_0011,MB 29,53.16416540625662,-6.8787245975519635,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0133_1400_0011,https://epawebapp.epa.ie/Hydronet/output/internet/stations/DUB/IE_SE_G_0133_1400_0011/GWL/complete_daymean.zip,97.58
IE_SE_G_0133_1400_0019,TULLY,53.14402833258258,-6.901860985919049,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0133_1400_0019,https://epawebapp.epa.ie/Hydronet/output/internet/stations/DUB/IE_SE_G_0133_1400_0019/GWL/complete_daymean.zip,86.338
IE_SE_G_0135_1500_0012,KNOCKTOPHER,52.472792283888374,-7.218931832753231,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0135_1500_0012,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0135_1500_0012/GWL/complete_daymean.zip,59.185
IE_SE_G_0149_1500_0018,SLIEVEROE BH1,52.26319890930917,-7.0745709451644965,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0149_1500_0018,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0149_1500_0018/GWL/complete_daymean.zip,20.227
IE_SE_G_0153_1600_0014,VICKERSTOWN,53.050519501947306,-7.087618110721287,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0153_1600_0014,https://epawebapp.epa.ie/Hydronet/output/internet/stations/DUB/IE_SE_G_0153_1600_0014/GWL/complete_daymean.zip,65.044
IE_SE_G_0156_1500_0005,BORRISMORE CREEK,52.70384246446532,-7.508950050133806,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0156_1500_0005,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0156_1500_0005/GWL/complete_daymean.zip,147.34
IE_SE_G_0156_1500_0020,NU1 Deep,52.72480245902755,-7.477891285836293,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0156_1500_0020,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0156_1500_0020/GWL/complete_daymean.zip,141.64
IE_SE_G_0156_1500_0021,NU1 Transition,52.72480245902755,-7.477891285836293,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0156_1500_0021,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0156_1500_0021/GWL/complete_daymean.zip,141.945
IE_SE_G_0159_1500_0011,KILMAGANNY,52.47626560846005,-7.327302908582097,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0159_1500_0011,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0159_1500_0011/GWL/complete_daymean.zip,69.967
IE_SE_G_0160_0100_0004,LANDFILL SITE,52.7666271830127,-6.954940958538074,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0160_0100_0004,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0160_0100_0004/GWL/complete_daymean.zip,46.778
IE_SE_G_0163_1500_0002,BALLYRAGGET GLANBIA,52.793376448984866,-7.347627899709342,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0163_1500_0002,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0163_1500_0002/GWL/complete_daymean.zip,66.192
IE_SH_G_0039_2500_0001,CLBH9 Deep,53.31642667361012,-7.657378899016585,https://epawebapp.epa.ie/Hydronet/#IE_SH_G_0039_2500_0001,https://epawebapp.epa.ie/Hydronet/output/internet/stations/ATH/IE_SH_G_0039_2500_0001/GWL/complete_daymean.zip,57.73
IE_SH_G_0039_2500_0002,CLBH5 Deep,53.31712400671688,-7.640928276931683,https://epawebapp.epa.ie/Hydronet/#IE_SH_G_0039_2500_0002,https://epawebapp.epa.ie/Hydronet/output/internet/stations/ATH/IE_SH_G_0039_2500_0002/GWL/complete_daymean.zip,57.73
IE_SH_G_0048_2600_0001,AGHADRESTAN,53.84425432257923,-8.576746951321589,https://epawebapp.epa.ie/Hydronet/#IE_SH_G_0048_2600_0001,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_SH_G_0048_2600_0001/GWL/complete_daymean.zip,83.924
IE_SH_G_0048_2600_0008,CLOONAMAGAUNNA,53.906174355667986,-8.494068659831678,https://epawebapp.epa.ie/Hydronet/#IE_SH_G_0048_2600_0008,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_SH_G_0048_2600_0008/GWL/complete_daymean.zip,70.985
IE_SH_G_0091_2600_0005,ROSCOMMON GOLF CLUB,53.607659600606546,-8.17982153025799,https://epawebapp.epa.ie/Hydronet/#IE_SH_G_0091_2600_0005,https://epawebapp.epa.ie/Hydronet/output/internet/stations/ATH/IE_SH_G_0091_2600_0005/GWL/complete_daymean.zip,50.303
IE_SH_G_0225_2600_0016,TURROCK,53.49530575813616,-8.207748838431021,https://epawebapp.epa.ie/Hydronet/#IE_SH_G_0225_2600_0016,https://epawebapp.epa.ie/Hydronet/output/internet/stations/ATH/IE_SH_G_0225_2600_0016/GWL/complete_daymean.zip,70.309
IE_SH_G_0252_3600_0018,MORGANS,52.61212984968406,-9.047237378990506,https://epawebapp.epa.ie/Hydronet/#IE_SH_G_0252_3600_0018,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SH_G_0252_3600_0018/GWL/complete_daymean.zip,6.195
